ID,Department,Category,Title,Description,photoName,Coordinates,Link
16.1,Charente (16),Adventurous/Sporty,River Descent,Rent a kayak or canoe from a base like Jarnac Canoe or Cognac Canoë to paddle the scenic Charente River.,16.1 - Canoe.jpg,"45.698656872426874, -0.3317907729208261",https://www.destination-cognac.com/en/hobbies/canoe-kayak-club-in-jarnac-jarnac-sports-canoe-kayak/
16.2,Charente (16),Adventurous/Sporty,Track Rider,Pedal a unique rail bike on a beautiful route with Velo Rail Charente-Limousine (near Roumazières-Loubert).,16.2 - VeloRail.jpg,"45.891470145945426, 0.5824529429643958",https://www.tripadvisor.co.uk/Attraction_Review-g1308446-d4589561-Reviews-Chemin_de_Fer_de_Charente_Limousine-Confolens_Charente_Nouvelle_Aquitaine.html
16.3,Charente (16),Adventurous/Sporty,Canopy Climb,Tackle high ropes courses and zip lines at Feel Nature Parc Aventure (in the forest near Angoulême) or similar parks.,16.3 - Feel Nature Parc Aventure.jpg,"46.06968831879084, 0.24869434179435485",https://www.tripadvisor.co.uk/Attraction_Review-g1887855-d10661786-Reviews-Feel_Nature-Taize_Aizie_Charente_Nouvelle_Aquitaine.html
16.4,Charente (16),Foody,Golden Spirit,"Visit a prestigious producer like Hennessy, Martell, or the family-owned Cognac Raby for a tour and tasting.",16.4 - Martell Cognac.webp,"45.69199302191891, -0.3303405340309574",https://www.martell.com/en/visit-us/martell-discovery/
16.5,Charente (16),Foody,Sunset Aperitif,Sample Pineau des Charentes and Cognac at a dedicated vineyard like Domaine de Beaulieu (Germignac) or Vignoble Vincent (Oléron).,16.5 - Pineau de Charente.jpg,"45.57963154113172, -0.33523138958970655",https://www.domainedebeaulieu.fr/
16.6,Charente (16),Foody,Escargot Delight,Seek out traditional dishes like Cagouilles (snails) at a local restaurant or market in a town like Angoulême or Cognac.,16.6 - Cagouilles charentaise.jpg,"45.6432894588709, 0.15041793214323318",https://sourcesdefontbelle.com/
16.7,Charente (16),Relaxing,Turquoise Oasis,Take a peaceful walk and picnic at the stunning turquoise Lacs Bleus de Guizengeard (near the border of Charente-Maritime).,16.7 - Turquoise Lake.jpg,"45.30494920082033, -0.11181782004110026",https://bordeauxtravelguide.com/lac-bleu-de-guizengeard-charente-maritime/
16.8,Charente (16),Relaxing,Gourmet Market,Wander through the beautiful Art Deco Les Halles d'Angoulême covered market for local produce.,16.8 - Marche Angouleme.webp,"45.65004402107755, 0.15732995802582883",https://www.angouleme-tourisme.com/en/patrimoine-culturel/les-halles/
16.9,Charente (16),Relaxing,Waterside Repose,Relax by the Plan d'Eau de la Grande Prairie lake at Saint-Yrieix-sur-Charente (just outside Angoulême).,16.9 - Plan D'eau.jpg,"45.68650586878607, 0.14890671163411676",https://www.tripadvisor.co.uk/Attraction_Review-g651749-d12788988-Reviews-Plan_d_Eau_de_la_Grande_Prairie-Saint_Yrieix_sur_Charente_Angouleme_Charente_Nou.html
16.1,Charente (16),History & Culture,Fairytale Castle,Explore the magnificent architecture of the Château de la Rochefoucauld.,16.1 - Canoe.jpg,"45.74188673576732, 0.38047401226978006",https://www.chateau-la-rochefoucauld.com/en/
16.11,Charente (16),History & Culture,Stone Grotto,"Discover the unique monolithic Saint-Jean Church in Aubeterre-sur-Dronne, carved into a cliff.",16.11 - Eglise Souterraine.jpg,"45.272405727135535, 0.17133953922959355",https://www.heritagedaily.com/2020/10/saint-jean-the-subterranean-monolithic-church/135732
16.12,Charente (16),History & Culture,Comic Masterpiece,Visit the Cité Internationale de la Bande Dessinée et de l'Image (Comic Strip Museum) in Angoulême.,16.12 - Comic Strip Museum.jpg,"45.65575974567912, 0.15106362390695932",https://www.citebd.org/venir-a-la-cite/le-musee-de-la-bande-dessinee
17.1,Charente-Maritime (17),Adventurous/Sporty,Island Pedals,Rent a bicycle at Saint-Martin-de-Ré or Ars-en-Ré to explore the extensive cycle paths of Île de Ré.,17.1 - Ile de Re cycle.jpg,"46.20513387782576, -1.3682270054341987",https://www.calameo.com/iledere/read/00000394945bb2b412f1f
17.2,Charente-Maritime (17),Adventurous/Sporty,Coastal Adrenaline,"Book a jet-ski, kitesurf, or windsurf session from a water sports base in La Rochelle or Royan.",17.2 - Jet ski.webp,"45.622838113021196, -1.0292906701779512",https://jetroyan.fr/en/accueil-english/
17.3,Charente-Maritime (17),Adventurous/Sporty,Treetop Trek,Experience the high-ropes courses and forest trails at Parc Aventure de Fontdouce (near Saint-Bris-des-Bois).,17.3 - Fontdouce adventure park.jpg,"45.76993119591877, -0.4587893588929016",https://parc-aventure-fontdouce.com/fr/
17.4,Charente-Maritime (17),Foody,Briny Treasure,Stop for an oyster tasting at the La Cité de l'Huître (Marennes) or one of the cabanes along the Chenal de la Cayenne.,17.4 - Oysters Marenne.jpg,"45.79405358264561, -1.1220514030706785",https://cite-huitre.com/
17.5,Charente-Maritime (17),Foody,Saffron Mussels,Enjoy a bowl of Mouclade at a traditional restaurant on the Vieux Port in La Rochelle.,17.5 - Mouclades.jpg,"46.158276058077746, -1.1512646743980928",https://www.guide-charente-maritime.com/en/experiences/food-lovers/article-mouclade-and-mussel-eclair-two-essential-culinary-traditions-in-charente-maritime-76.html
17.6,Charente-Maritime (17),Foody,Salt Worker,Buy high-quality sea salt and fleur de sel directly from a producer like Sauniers de l'Île de Ré.,17.6 - Sel d'ile de re.webp,"46.20817701585241, -1.508748003048189",https://sauniers-iledere.com/
